iter	Passed	Remaining
0	139	138992
1	142	70991
2	145	48292
3	149	37167
4	152	30401
5	156	25873
6	158	22511
7	165	20477
8	167	18451
9	170	16864
10	173	15567
11	176	14563
12	180	13674
13	182	12876
14	185	12150
15	187	11543
16	191	11084
17	195	10662
18	198	10263
19	202	9907
20	206	9648
21	211	9410
22	215	9150
23	220	8961
24	226	8833
25	231	8657
26	237	8542
27	240	8356
28	244	8177
29	248	8037
30	252	7897
31	256	7759
32	260	7632
33	267	7593
34	271	7479
35	274	7354
36	279	7275
37	284	7192
38	288	7109
39	292	7024
40	300	7026
41	304	6935
42	314	7000
43	318	6911
44	321	6816
45	324	6723
46	327	6646
47	331	6569
48	335	6505
49	339	6441
50	342	6370
51	346	6313
52	349	6251
53	353	6199
54	358	6151
55	362	6115
56	367	6081
57	373	6058
58	377	6018
59	380	5967
60	385	5938
61	389	5900
62	393	5849
63	397	5810
64	401	5772
65	404	5726
66	408	5691
67	410	5632
68	415	5604
69	420	5590
70	424	5553
71	428	5527
72	433	5500
73	437	5478
74	441	5449
75	446	5426
76	450	5400
77	454	5366
78	458	5343
79	463	5326
80	467	5300
81	472	5284
82	476	5268
83	482	5256
84	485	5226
85	491	5220
86	493	5183
87	498	5166
88	503	5148
89	508	5142
90	513	5130
91	517	5111
92	522	5095
93	526	5074
94	530	5049
95	533	5027
96	537	5008
97	542	4989
98	547	4979
99	552	4968
100	556	4952
101	558	4915
102	562	4896
103	567	4886
104	571	4873
105	575	4857
106	579	4836
107	584	4824
108	589	4814
109	592	4797
110	596	4777
111	600	4764
112	604	4748
113	609	4737
114	613	4722
115	616	4701
116	621	4690
117	626	4682
118	630	4665
119	634	4652
120	638	4641
121	643	4629
122	645	4604
123	649	4590
124	653	4577
125	658	4566
126	665	4572
127	674	4594
128	679	4587
129	685	4587
130	690	4581
131	695	4574
132	701	4573
133	706	4566
134	710	4554
135	715	4544
136	719	4532
137	723	4517
138	727	4506
139	731	4494
140	735	4479
141	739	4467
142	743	4455
143	747	4445
144	751	4433
145	756	4425
146	761	4418
147	766	4411
148	771	4405
149	776	4398
150	781	4393
151	786	4386
152	792	4384
153	797	4379
154	801	4371
155	806	4365
156	843	4530
157	855	4558
158	860	4553
159	869	4565
160	885	4614
161	920	4762
162	929	4772
163	935	4769
164	947	4795
165	967	4862
166	1014	5060
167	1082	5362
168	1313	6459
169	1416	6913
170	1573	7630
171	1593	7670
172	1596	7631
173	1605	7622
174	1608	7585
175	1612	7549
176	1618	7527
177	1623	7495
178	1626	7458
179	1629	7421
180	1630	7378
181	1634	7345
182	1637	7308
183	1640	7275
184	1650	7269
185	1654	7239
186	1670	7263
187	1684	7277
188	1688	7245
189	1697	7238
190	1700	7202
191	1703	7168
192	1705	7133
193	1718	7141
194	1721	7108
195	1731	7101
196	1734	7068
197	1737	7036
198	1748	7037
199	1751	7005
200	1758	6992
201	1762	6962
202	1765	6931
203	1768	6901
204	1778	6897
205	1781	6867
206	1785	6840
207	1792	6826
208	1798	6805
209	1807	6800
210	1813	6780
211	1828	6796
212	1844	6816
213	1863	6843
214	1870	6828
215	1913	6945
216	1918	6920
217	1925	6908
218	1930	6883
219	1940	6880
220	1945	6859
221	1950	6834
222	1960	6829
223	1964	6805
224	1979	6816
225	1993	6826
226	2005	6830
227	2010	6806
228	2024	6816
229	2029	6793
230	2040	6793
231	2045	6772
232	2057	6773
233	2068	6771
234	2072	6747
235	2076	6721
236	2087	6719
237	2090	6694
238	2101	6690
239	2104	6665
240	2119	6674
241	2123	6652
242	2136	6655
243	2141	6635
244	2147	6617
245	2160	6620
246	2178	6641
247	2190	6642
248	2204	6649
249	2209	6628
250	2222	6630
251	2274	6750
252	2304	6803
253	2322	6820
254	2356	6884
255	2371	6891
256	2386	6898
257	2417	6953
258	2420	6926
259	2563	7295
260	2566	7266
261	2569	7238
262	2580	7230
263	2583	7202
264	2586	7174
265	2594	7159
266	2597	7130
267	2601	7106
268	2613	7102
269	2648	7161
270	2680	7210
271	2706	7243
272	2710	7218
273	2729	7230
274	2731	7201
275	2741	7190
276	2745	7165
277	2753	7151
278	2757	7127
279	2762	7103
280	2774	7097
281	2776	7070
282	2788	7064
283	2792	7038
284	2799	7022
285	2803	6999
286	2806	6972
287	2814	6958
288	2821	6940
289	2824	6916
290	2833	6904
291	2837	6879
292	2846	6869
293	2857	6862
294	2864	6844
295	2867	6820
296	2875	6806
297	2879	6783
298	2888	6771
299	2894	6752
300	2906	6748
301	2914	6735
302	2917	6712
303	2929	6706
304	2942	6704
305	2954	6701
306	2959	6679
307	2967	6666
308	2972	6647
309	2977	6626
310	2983	6610
311	2987	6588
312	2997	6578
313	3000	6556
314	3011	6549
315	3017	6530
316	3029	6526
317	3035	6509
318	3053	6518
319	3058	6498
320	3061	6476
321	3070	6465
322	3073	6442
323	3087	6442
324	3107	6454
325	3110	6431
326	3122	6427
327	3126	6406
328	3133	6389
329	3137	6369
330	3141	6349
331	3150	6338
332	3156	6321
333	3169	6320
334	3173	6300
335	3184	6292
336	3188	6272
337	3199	6267
338	3203	6246
339	3219	6248
340	3230	6244
341	3236	6226
342	3250	6226
343	3267	6231
344	3282	6231
345	3285	6209
346	3297	6204
347	3313	6207
348	3315	6184
349	3323	6172
350	3326	6150
351	3329	6129
352	3332	6107
353	3339	6093
354	3342	6072
355	3345	6051
356	3347	6029
357	3364	6032
358	3376	6029
359	3380	6009
360	3393	6007
361	3397	5987
362	3426	6013
363	3441	6013
364	3444	5992
365	3458	5991
366	3461	5970
367	3476	5971
368	3479	5950
369	3661	6235
370	3676	6233
371	3703	6251
372	3737	6283
373	3759	6292
374	3766	6277
375	3774	6263
376	3778	6243
377	3782	6224
378	3787	6205
379	3791	6186
380	3795	6167
381	3798	6145
382	3805	6131
383	3812	6115
384	3816	6095
385	3822	6080
386	3827	6062
387	3830	6042
388	3837	6026
389	3841	6008
390	3843	5986
391	3848	5968
392	3851	5948
393	3855	5929
394	3858	5909
395	3884	5925
396	3927	5965
397	4017	6076
398	4034	6076
399	4067	6101
400	4070	6080
401	4072	6058
402	4079	6043
403	4084	6025
404	4086	6003
405	4088	5981
406	4093	5964
407	4099	5948
408	4101	5927
409	4104	5906
410	4108	5887
